epoch,n, train_loss, valid_loss
27,3, 1156.6324145508, 993.5745385742,
27,4, 1157.2420776367, 1824.3738867188,
28,0, 925.8529418945, 736.8727539062,
28,1, 1008.7580114746, 1102.0617114258,
28,2, 983.4454687500, 1596.3175781250,
28,3, 1257.6850146484, 877.5636352539,
28,4, 1326.3176049805, 893.8514599609,
29,0, 1188.7285009766, 1187.2394335937,
29,1, 918.7610937500, 759.6157666016,
29,2, 1214.8266894531, 3385.5337109375,
29,3, 1038.1989086914, 1410.6584155273,
29,4, 1041.2860839844, 1223.5993408203,
30,0, 1006.5199719238, 652.5712451172,
30,1, 1124.8804125977, 2538.6417138672,
30,2, 1187.3895410156, 1499.0608642578,
30,3, 1233.8574536133, 1531.8001342773,
30,4, 1055.5499462891, 718.6740698242,
31,0, 1080.2254357910, 622.0357226562,
31,1, 1099.2915112305, 629.5748583984,
31,2, 937.6264343262, 924.2423730469,
31,3, 1207.3012561035, 596.3115661621,
31,4, 831.6738146973, 821.0024633789,
32,0, 970.6288586426, 772.9643212891,
32,1, 968.1187280273, 1065.5849780273,
32,2, 815.1332177734, 1265.2811523437,
32,3, 1095.6547924805, 969.6205615234,
32,4, 1038.0785754395, 839.5786010742,
33,0, 1083.5923095703, 1677.0760717773,
33,1, 1082.2953845215, 1330.1598632812,
33,2, 910.4441210938, 917.5756250000,
33,3, 1079.0603479004, 788.4663256836,
33,4, 1074.3497790527, 2526.3709912109,
34,0, 881.1082849121, 602.4715881348,
34,1, 915.2007788086, 863.9231591797,
34,2, 927.6139440918, 1018.9861376953,
34,3, 1059.1217321777, 810.0621093750,
34,4, 794.0888940430, 455.8591918945,
35,0, 1020.4541784668, 1474.7460644531,
35,1, 800.5470117188, 480.8207006836,
35,2, 1082.2118920898, 2359.9047216797,
35,3, 835.6244531250, 865.7051977539,
35,4, 943.9518945312, 1035.3677612305,
36,0, 819.2378002930, 662.0137414551,
36,1, 868.9173266602, 826.4714013672,
36,2, 831.6698645020, 728.7768054199,
36,3, 857.6653039551, 1311.3757666016,
36,4, 762.0973278809, 1093.7571630859,
37,0, 786.7894482422, 857.4700122070,
37,1, 846.8252050781, 416.8661035156,
37,2, 848.3287805176, 481.1252679443,
37,3, 838.4203112793, 2164.9542480469,
37,4, 1111.7165527344, 474.3332666016,
38,0, 778.0717004395, 987.2869311523,
38,1, 889.5927441406, 373.0542480469,
38,2, 681.8658544922, 405.1812561035,
38,3, 756.5572900391, 2414.0890673828,
38,4, 715.8117224121, 550.9717333984,
39,0, 820.0783374023, 1031.6792114258,
39,1, 818.3803613281, 1452.9175634766,
39,2, 852.4353588867, 1317.6089746094,
39,3, 865.6047387695, 1908.7439453125,
39,4, 658.1780261230, 652.2076342773,
40,0, 801.6175903320, 2258.4909228516,
40,1, 762.1703698730, 432.0161914063,
40,2, 738.2475146484, 377.6840350342,
40,3, 768.2230590820, 899.9962597656,
40,4, 676.1997326660, 847.8499365234,
41,0, 651.7819970703, 366.4461706543,
41,1, 753.3527087402, 538.3248730469,
41,2, 745.5836242676, 953.8608325195,
41,3, 721.0718786621, 626.9280847168,
41,4, 821.0488085937, 1459.6535668945,
