65	376.464	386	432.615	678	447.304	1300	532.792
98	608.078	440	644.053	804	647.387	1700	988.311
103	289.307	422	322.093	782	328.814	1700	511.293
70	510.397	482	608.56	933	647.438	1600	708.035
97	399.082	407	424.028	785	424.119	1600	855.371
60	538.46	469	631.821	930	674.086	1500	737.586
51	339.885	375	382.941	713	411.026	1200	403.896
55	297.972	362	332.832	690	346.609	1300	388.879
37	272.657	73	344.166	560	298.929	1200	653.446
85	345.789	288	366.134	601	362.585	1400	410.683
64	505.765	135	562.06	594	453.527	1400	975.273
52	77.3272	211	104.624	499	111.009	1100	117.726
51	381.138	420	430.043	812	427.304	1300	408.875
63	345.677	571	392.704	1132	423.19	1600	452.322
81	681.945	512	815.333	957	859.247	1700	958.944
78	323.264	360	349	790	325.109	1700	342.688
119	392.442	415	428.132	785	433.397	1700	466.218
82	249.364	296	268.069	589	269.282	1400	373.982
69	262.568	334	313.833	624	322.427	1200	355.016
53	419.463	225	446.987	655	472.621	1300	448.459
53	200.638	132	243.295	487	219.63	1400	611.76
82	293.712	269	309.552	492	308.286	1300	333.711
73	393.762	594	508.313	1150	533.55	1700	579.23
91	212.348	419	229.359	765	238.713	1600	265.027
79	448.86	285	480.121	601	478.762	1500	540.001
68	454.933	385	501.651	984	541.816	1500	566.524
61	213.684	302	265.116	923	280.257	1600	295.895
46	153.904	197	185.622	686	199.219	1200	205.194
91	211.156	197	222.011	521	194.547	1600	567.655
81	433.253	283	482.832	619	479.191	1500	560.233
69	440.441	273	478.241	668	491.735	1500	404.473
92	468.798	311	496.225	632	492.416	1600	556.27
93	400.034	400	431.555	734	445.483	1500	466.902
66	474.942	441	522.162	750	538.57	1400	586.738
90	309.383	232	375.931	645	334.722	1700	972.512
77	295.398	208	327.869	621	340.205	1500	365.198
64	227.194	146	273.242	438	222.705	1400	736.322
87	543.869	425	617.055	881	613.814	1700	894.057
73	286.153	438	315.254	820	329.905	1600	396.614
72	556.787	548	622.417	966	645.449	1500	732.812
45	448.268	122	471.326	543	396.613	1100	633.848
48	271.901	403	310.229	753	310.595	1100	258.529
94	209.567	328	221.702	658	219.345	1500	514.212
69	308.963	241	337.397	845	263.248	1700	565.633
55	179.446	287	226.189	541	236.277	1100	263.627
70	261.222	234	297.859	555	303.961	1200	326.766
64	549.86	186	527.44	549	464.635	1300	1011.08
50	515.558	116	552.585	498	509.004	1200	1107.04
46	398.91	331	437.693	743	441.567	1200	400.475
61	661.216	355	735.062	843	694.638	1500	1223.43
87	175.246	264	204.995	470	206.6	1200	221.6
54	493.808	117	602.011	642	529.713	1500	1260.88
68	710.048	491	775.329	859	804.343	1600	878.352
62	436.985	134	521.449	546	513.127	1500	564.134
92	204.645	388	242.78	725	248.782	1500	332.697
66	511.114	294	545.965	679	559.533	1400	716.481
65	259.57	215	271.037	533	252.136	1200	611.99
70	466.444	588	521.065	1106	557.559	1600	613.577
94	164.012	360	209.996	676	218.22	1400	239.487
86	317.342	349	362.241	781	377.724	1500	403.392
68	246.664	159	301.401	410	276.976	1400	776.009
59	448.889	399	495.722	861	534.901	1400	551.618
75	356.593	505	390.011	941	406.51	1600	502.001
46	291.028	221	331.497	651	304.47	1200	479.596
75	882.437	592	985.245	1074	1049.66	1600	1137.5
76	301.102	207	319.014	527	290.887	1500	826.721
74	809.58	389	922.771	902	901.313	1500	1430.19
91	519.686	297	549.433	674	547.042	1700	606.474
65	250.866	189	282.338	464	281.01	1200	361.626
51	438.937	626	503.754	1151	552.545	1600	495.649
58	334.539	147	382.09	604	295.751	1400	755.213
50	318.169	629	359.822	1256	398.509	1600	411.489
89	206.99	383	250.563	722	255.207	1500	455.962
70	358.307	498	405.862	905	428.106	1600	471.227
78	321.976	405	350.431	832	336.129	1700	977.955
