epoch,n, train_loss, valid_loss
16,4, 1370.8302856445, 3079.8582812500,
17,0, 1296.9502954102, 3382.3802001953,
17,1, 1298.4454296875, 759.8655664062,
17,2, 1501.5487646484, 2260.6493408203,
17,3, 1307.4204736328, 1147.3133300781,
17,4, 1369.8156127930, 2380.7834570312,
18,0, 1335.8151147461, 1858.9081005859,
18,1, 1418.1033642578, 6663.3885156250,
18,2, 1631.8026025391, 7418.4658593750,
18,3, 1591.3061230469, 3039.0757128906,
18,4, 1378.4401806641, 1765.7337109375,
19,0, 1328.5488525391, 1838.7028027344,
19,1, 1184.0296606445, 1439.2070678711,
19,2, 1462.7476513672, 1709.7440991211,
19,3, 1533.0969677734, 4132.2623828125,
19,4, 1297.2721386719, 1281.3899121094,
20,0, 1215.4572631836, 2253.1469921875,
20,1, 1305.9582617188, 1729.4174462891,
20,2, 1317.9951708984, 9756.9446093750,
20,3, 1293.4214086914, 5081.4208691406,
20,4, 1481.6010961914, 2910.3216796875,
21,0, 1051.0201000977, 1226.8744934082,
21,1, 1161.1283886719, 894.3034692383,
21,2, 1305.8892041016, 1309.0366503906,
21,3, 1350.0113110352, 914.9908764648,
21,4, 1306.6777099609, 1818.5089208984,
22,0, 1230.9872607422, 845.0326171875,
22,1, 1154.7273315430, 872.1051879883,
22,2, 1295.4311132812, 4389.4684765625,
22,3, 1552.4615551758, 15903.7762109375,
22,4, 1015.2481347656, 1212.8099841309,
23,0, 1135.2049597168, 1769.2436572266,
23,1, 1314.6167309570, 2998.0287988281,
23,2, 1214.2485571289, 1098.5413500977,
23,3, 1003.7358496094, 2427.5851611328,
23,4, 1061.4874829102, 2363.9897167969,
24,0, 1249.9007470703, 1190.0441821289,
24,1, 1191.0767260742, 10352.2042382813,
24,2, 1071.1013061523, 822.8235485840,
24,3, 1056.3525183105, 1156.2380517578,
24,4, 1210.6098217773, 2333.2647119141,
25,0, 965.1667260742, 2204.0560498047,
25,1, 1100.5938854980, 2304.2775000000,
25,2, 1107.7201025391, 1221.0992773437,
25,3, 1099.7771215820, 1644.6312866211,
25,4, 1091.5869580078, 3962.3490625000,
26,0, 1255.1365380859, 1469.8976391602,
26,1, 1183.8592700195, 1340.7648071289,
26,2, 1077.1462255859, 1384.6657592773,
26,3, 1234.9808374023, 1779.3286132812,
26,4, 931.2324047852, 937.0399633789,
27,0, 1043.8720654297, 2246.6990332031,
27,1, 1122.7624902344, 1272.4978344727,
27,2, 1205.0662915039, 2336.1838232422,
27,3, 1131.2345092773, 1570.6289892578,
27,4, 1175.5364990234, 1903.3359716797,
28,0, 1121.3107080078, 1696.8964257812,
28,1, 1100.4490307617, 1820.9937158203,
28,2, 1054.4152734375, 2984.5684179688,
28,3, 1010.6302966309, 3283.9735156250,
28,4, 1173.3185510254, 837.1203259277,
29,0, 1067.9743005371, 1278.1316186523,
29,1, 952.7549206543, 972.1517626953,
29,2, 969.3923693848, 980.8312011719,
29,3, 791.6125463867, 2264.1626953125,
29,4, 1051.3283288574, 766.9705761719,
30,0, 857.4542883301, 928.0351367187,
30,1, 933.4077429199, 1553.7752294922,
30,2, 1080.3195410156, 3024.3051464844,
30,3, 928.5728833008, 1377.6376977539,
